UniProt ID,Gene Symbol,Name,Process/Function,Ions,Gating,Channel Class,In BETSE?
Q12929,EPS8,Epidermal growth factor receptor kinase substrate 8,NOT AN ION CHANNEL; signaling adapter.,,,,
Q12959,DLG1,Disks large homolog 1,NOT AN ION CHANNEL; chaperone ,,,,
Q12966,-,Dihydropyridine receptor alpha 1 subunit,"Ca2+ channel; ? gating; Neurons, mucle contraction",Ca2+,Ligand,,
Q13002,GRIK2,"Glutamate receptor ionotropic, kainate 2",Cation channel; Ligand-gated; Excitatory neurotransmitter in the CNS; May be involved in transmission of light information from the retina to the hypothalamus; Mutations associated with intellectual deficency,cation,Ligand,NMDA,doable
Q13003,GRIK3,"Glutamate receptor ionotropic, kainate 3","Cation channel; Ligand-gated; Glutamate-gated; CNS, excitatory synaptic transmission",cation,Ligand,NMDA,doable
Q13023,AKAP6,A-kinase anchor protein 6,NOT AN ION CHANNEL; anchors A-kinase to membrane,,,,
Q13061,TRDN,Triadin,"unknown; Detects Ca2+, and interacts with RyR1, RyR2 (Ryanodine receptors ion channels)",Ca2+,Voltage,,
Q13062,-,Dihydropyridine receptor,"Ca2+ channel; ? gating; Neurons, mucle contraction",Ca2+,Ligand,,
Q13127,REST,RE1-silencing transcription factor,NOT AN ION CHANNEL; regulates channel activity,,,,
Q13224,GRIN2B,"Glutamate receptor ionotropic, NMDA 2B","Cation channel (high Ca2+ permeability, Mg2+ sensitivity is voltage-dependent); Ligand-gated; Mutations associated with intellectual deficiency",cation,Ligand,NMDA,doable
Q13303,KCNAB2,Voltage-gated potassium channel subunit beta-2,"K+ channel; Voltage-gated; Regulation of nerve signallying, prevents neuronal hyperexcitability; Affects other channels, like KCNA5, KCNB2",K+,Voltage,KvBeta2,
Q13507,TRPC3,Short transient receptor potential channel 3,cation channel; secondary messenger; ,cation,Ligand. Mechanical.,TRPC3,
Q13520,AQP6,Aquaporin-6,"NOT AN ION CHANNEL; water channel, maybe some ions (? - check?",,,,
Q13557,CAMK2D,Calcium/calmodulin-dependent protein kinase type II subunit delta,NOT AN ION CHANNEL; kinase can act on ion channels.,,,,
Q13563,PKD2,Polycystin-2,Ca2+ channel; Mechanosensation by the primary cilium in renal epithelium; Mechano- and thermosensitive; Mutations associated with polycycstic kidney disease; ,Ca2+,Mechanical. Temperature.,,
Q13698,CACNA1S,Voltage-dependent L-type calcium channel subunit alpha-1S,"Ca2+ channel; Voltage-gated; excitable cells, muscle contraction, hormone/neurotransmitter release, gene expression, cell motility, cell division, cell death; Imporant for excitation/contraction of skeletal muscle; Mutations associated with periodic paralysis, malignant hyperthermia, thyrotoxic periodic paralysis, ",Ca2+,Voltage,Cav1.1 (L-type),no
Q13796,SHROOM2,Protein Shroom2,NOT AN ION CHANNEL; involved in endothelial cell morphology changes during cell spreading,,,,
Q13936,CACNA1C,Voltage-dependent L-type calcium channel subunit alpha-1C,"Ca2+ channel; Voltage-gated; Excitable cells, muscle contraction, hormone/neurotransmitter release, gene expression, cell motility, cell division, cell death. Mutaions associated with Timothy syndrome (webbing of fingers, congenital heart disease, immune deficiency, hypoglycemia, cognative abnormalities, autism), Brugada syndrome (heart disease), ",Ca2+,Voltage,Cav1.2 (L-type),yes
Q14003,KCNC3,Potassium voltage-gated channel subfamily C member 3,K+ channel; Voltage-gated;,K+,Voltage,Kv3.3,yes
Q14028,CNGB1,Cyclic nucleotide-gated cation channel beta-1,cation channel; Ligand-gated; Nucleotide activated; Visual and olfactory signal transduction,cation,Ligand,,
Q14247,CTTN,Src substrate cortactin,NOT AN ION CHANNEL; modulate number of K+ channels,,,,
Q14289,PTK2B,Protein-tyrosine kinase 2-beta,NOT AN ION CHANNEL; regulates NMDA receptor ion channel activity and intracellular Ca2+ levels,,,,
Q14393,GAS6,Growth arrest-specific protein 6,NOT AN ION CHANNEL: regulates Ca2+ channel activity,,,,
Q14500,KCNJ12,ATP-sensitive inward rectifier potassium channel 12,K+ channel; Ligand-gated; Control resting potential in excitable cells; ,K+,Voltage,Kir2.2,
Q14524,SCN5A,Sodium channel protein type 5 subunit alpha (NaV1.5),"Na+ channel; Voltage-gated; Responsible for initial upstroke of the action potential; Regulated by intracellular Ca2+; Mutations associated with heart conditions, sinus node dysfunction, ",Na+,Voltage,Nav1.5,
Q14571,ITPR2,"Inositol 1,4,5-trisphosphate receptor type 2",Ca2+ channel; ? gating;,Ca2+,Ligand,,
Q14573,ITPR3,"Inositol 1,4,5-trisphosphate receptor type 3",Ca2+ channel; ? gating;,Ca2+,Ligand,,
Q14643,ITPR1,"Inositol 1,4,5-trisphosphate receptor type 1",Ca2+ channel; ? gating; Ca2+ release from endoplasmic reticulum; Regulate epithelial secretion of electrolytes; ER stress-induced apoptosis,Ca2+,Ligand,,
Q14644,RASA3,Ras GTPase-activating protein 3,NOT AN ION CHANNEL; Regulator of Ras-cyclic AMP pathway; Binds IP4,,,,
Q14654,KCNJ11,ATP-sensitive inward rectifier potassium channel 11,K+ channel; Ligand-gated;  Controlled by G proteins; Subunit of KATP; Can form cardiac and smooth muscle channels,K+,Voltage,Kir6.2,
Q14721,KCNB1,Potassium voltage-gated channel subfamily B member 1,K+ channel; Voltage-gated;,K+,Voltage,Kv2.1,yes
Q14722,KCNAB1,Voltage-gated potassium channel subunit beta-1,K+ channel; Voltage-gated;,K+,Voltage,KvBeta1,
Q14802,FXYD3,FXYD domain-containing ion transport regulator 3,Cl- channel; ? gating,Cl-,,,
Q14831,GRM7,Metabotropic glutamate receptor 7,NOT AN ION CHANNEL: regulates Ca2+ channel activity,,,,
Q14957,GRIN2C,"Glutamate receptor ionotropic, NMDA 2C","Cation channel (high Ca2+ permeability, Mg2+ sensitivity is voltage-dependent); Ligand-gated; Glutamate-gated; ",cation,Ligand,NMDA,doable
Q14C71,GLRA1,GLRA1 protein,Cl- channel; Ligand-gated; Glycine-gated;,Cl-,Ligand,Glycine,
Q14CN2,CLCA4,Calcium-activated chloride channel regulator 4,Cl- channel; ? gating; Ca2+ regulated,Cl-,Ligand,ClCa4,
Q14DR2,TRPM2,TRPM2 protein,cation channel; ? gating;,cation,Ligand. Temperature.,TRPM2,
Q15011,HERPUD1,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein,NOT AN ION CHANNEL,,,,
Q15257,PPP2R4,Serine/threonine-protein phosphatase 2A activator,NOT AN ION CHANNEL; accelerates the folding of proteins,,,,
Q15413,RYR3,Ryanodine receptor 3,"Ca2+ channel; Ligand-gated; Excitable tissue; CICR; Widely expressed, mostly in brain; In muscle tissue is involved in muscle contraction and in other tissue is involved in Ca2+ homeostatsis; May regulate release of Ca2+ by other ion channels; Plays a role in Ca2+ signalling",Ca2+,Ligand,RyR,
Q15700,DLG2,Disks large homolog 2,NOT AN ION CHANNEL; regulates NMDA receptor signalling (chronic pain) in spine; interacts with K+ channels; Involved in excitatory synapses,,,,
Q15822,CHRNA2,Neuronal acetylcholine receptor subunit alpha-2,"Cation channel; Ligand-gated; Binds acetylcholine to open channel; Mutations associated with epilepsy, ",cation,Ligand,nAChR,doable
Q15825,CHRNA6,Neuronal acetylcholine receptor subunit alpha-6,Cation channel; Ligand-gated; ,cation,Ligand,nAChR,doable
Q15842,KCNJ8,ATP-sensitive inward rectifier potassium channel 8,K+ channel; Ligand-gated; Gated by ATP; ,K+,Voltage,Kir6.1,
Q15858,SCN9A,Sodium channel protein type 9 subunit alpha,"Na+ channel; Voltage-gated; Excitable membranes; Plays a role in pain mechanisms, inflammatory pain. Mutations associated with epilepsy, diseases involving severe pain & pain perception",Na+,Voltage,Nav1.7,
Q15878,CACNA1E,Voltage-dependent R-type calcium channel subunit alpha-1E,"Ca2+ channel; Voltage-gated; excitable cells, muscle contraction, hormone/neurotransmitter release, gene expression, cell motility, cell division, cell death. Channels containing this subunit are involved in modulating firing patters of neurons which is important for information processing",Ca2+,Voltage,Cav2.3 (R-type),soon
Q15BH2,-,Voltage-gated potassium channel KV11.1 transcript variant 1,K+ channel; Voltage-gated;,K+,Voltage,,
Q15G98,-,P2 nucleotide receptor 7 splice variant J,?,,,,
Q16099,GRIK4,"Glutamate receptor ionotropic, kainate 4","Cation channel; Ligand-gated; Glutamate-gated; CNS, excitatory synaptic transmission",cation,Ligand,NMDA,doable
Q16278,-,Voltage-dependent sodium channel alpha subunit protein,Na+ channel; Voltage-gated;,Na+,Voltage,,
Q16280,CNGA2,Cyclic nucleotide-gated olfactory channel,cation channel; Ligand-gated; Nucleotide activated; Olfactory signal transduction,cation,Ligand,,
Q16281,CNGA3,Cyclic nucleotide-gated cation channel alpha-3,"Cation channel; Ligand-gated; Activated by cyclic GMP to open cation channel to depolarize cone photoreceptors; Visual signal transduction; Mutations associated with colorblindness, low visual acuity; ",cation,Ligand,,
Q16322,KCNA10,Potassium voltage-gated channel subfamily A member 10,K+ channel; Voltage-gated;,K+,Voltage,Kv1.8,
Q16445,GABRA6,Gamma-aminobutyric acid receptor subunit alpha-6,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
Q16478,GRIK5,"Glutamate receptor ionotropic, kainate 5","Cation channel; Ligand-gated; Glutamate-gated; CNS, excitatory synaptic transmission",cation,Ligand,NMDA,doable
Q16515,ASIC2,Acid-sensing ion channel 2,Na+ channel; Ligand-gated; part of the ASIC complex (trimeric),Na+,Ligand,,
Q16558,KCNMB1,Calcium-activated potassium channel subunit beta-1,K+ channel; Voltage-gated; Ca2+ activated; Regulatory subunit of activated KCNMA1; Negative regulator of smooth muscle contraction,K+,Ligand,BKB1,doable
Q16623,STX1A,Syntaxin-1A,NOT AN ION CHANNEL; vessicle fusion of synaptic vesicles and Ca2+ channels,,,,
Q17R51,GRIA3,GRIA3 protein,Cation channel; Ligand-gated; Glutamate-gated;,cation,Ligand,NMDA,doable
Q19Q54,CFTR,Cystic fibrosis transmembrane conductance regulator ATP-binding cassette sub-family C member 7 mutant,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q1WWK6,GRIA4,GRIA4 protein,Cation channel; Ligand-gated; Glutamate-gated;,cation,Ligand,NMDA,doable
Q20BH0,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q20BI4,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q20BI6,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q20BJ8,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q2I0A3,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q2I0A9,CFTR,Cystic fibrosis transmembrane conductance regulator,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q2I0M4,LRRC26,Leucine-rich repeat-containing protein 26,?,,,,
Q2KHR9,SCN1B,SCN1B protein,Na+ channel; Voltage-gated; Generation and propogation of action potentials in neurons; Mutations associated with Brugada syndrom and GEFS,Na+,Voltage,,
Q2M2U7,TRPC4,Transient receptor potential 4,"cation channel; ? gating; TRPC=transient receptor potential canonical; Activated by Gq-coupled receptors and tyrosine kinases; Endothelial permeabiliy, vasodilation, neurotransmitter release, cell proliferation",cation,Ligand. Mechanical.,TRPC4,
Q2M3L1,TRPV3,TRPV3 protein,cation channel; ? gating;,cation,Ligand. Mechanical. Temperature.,TRPV3,
Q2N1I0,KCNE4,Cardiac voltage-gated potassium channel accessory subunit 4,K+ channel; Voltage-gated; ,K+,Voltage,,
Q2N1I1,KCNE3,Cardiac voltage-gated potassium channel accessory subunit isoform 3a,K+ channel; Voltage-gated; ,K+,Voltage,,
Q2N1I3,KCNE2,Cardiac voltage-gated potassium channel accessory subunit 2,K+ channel; Voltage-gated; ,K+,Voltage,,
Q2NLD5,KCNB1,KCNB1 protein,K+ channel; ? gating; ,K+,Voltage,Kv2.1,yes
Q2TAL6,VWC2,Brorin,NOT AN ION CHANNEL; promotes cell adhesion,,,,
Q2YDA1,KCNK4,KCNK4 protein,K+ channel; ? gating; ,K+,Voltage,,
Q32M45,ANO4,Anoctamin-4,Scramblase activity. (?) No CACC activity,Cl-,Voltage,,
Q32MC1,KCNG4,"Potassium voltage-gated channel, subfamily G, member 4",K+ channel; Voltage-gated;,K+,Voltage,Kv6.4,
Q32MC3,P2RX2,P2RX2 protein,Cation channel; Ligand-gated; ATP-gated; P2X family of G-protein-coupled receptors;,cation,Ligand,P2X,
Q32MQ2,C19orf15,C19orf15 protein,? ,,,,
Q36731,VDAC3,Voltage-dependent anion channel,anion channel; Voltage-gated;,anion,Voltage,,
Q3C1U7,-,Putative uncharacterized protein,? - unknown protein,,,,
Q3KNS8,KCNC1,"Potassium voltage-gated channel, Shaw-related subfamily, member 1",K+ channel; Voltage-gated;,K+,Voltage,Kv3.1,soon
Q3KR50,TRPC4,TRPC4 protein,cation channel; ? gating;,cation,Ligand. Mechanical.,TRPC4,
Q3LU46,TRPV1,Transient receptor potential vanilloid 1b,cation channel; ? gating;,cation,Ligand. Mechanical. Temperature.,TRPV1,
Q3MHB9,TRPC4,Short transient receptor potential channel 4,cation channel; secondary messenger; ,cation,Ligand. Mechanical.,TRPC4,
Q3MI97,KCNK7,KCNK7 protein,K+ channel; ? gating; ,K+,Voltage,,
Q3SY61,KCNT2,KCNT2 protein,K+ channel; ? gating; ,K+,Ligand,Slo2b,
Q3SYI1,KCNK7,"Potassium channel, subfamily K, member 7",K+ channel; Voltage-gated;,K+,Voltage,,
Q3YAA2,-,SCN9A (NaV1.7),Na+ channel; Voltage-gated; Primarily in neurons; Generation and conduction of action potentials,Na+,Voltage,,
Q3YAC7,-,Potassium channel interacting protein 2,K+ channel; Voltage-gated;,K+,Voltage,,
Q401N2,ZACN,Zinc-activated ligand-gated ion channel,cation channel; Ligand-gated; Zinc-activated;,cation,Ligand,,
Q45QN4,-,Voltage-gated potassium channel,K+ channel; Voltage-gated;,K+,Voltage,,
Q494W8,CHRFAM7A,CHRNA7-FAM7A fusion protein,cation channel; Ligand-gated;,cation,Ligand,,
Q49AE1,CLIC5,CLIC5 protein,Cl- channel,Cl-,Voltage,ClIC5,
Q4G0N8,SLC9C1,Sodium/hydrogen exchanger 10,antiporter,,antiporter,,
Q4G0X3,CLCN4,Chloride channel protein,Cl- channel; Voltage-gated;,Cl-,Voltage,ClvC4,
Q4KMQ2,ANO6,Anoctamin-6,Cation channel; Small-conductance calcium-activated nonselective (SCAN) cation channel,Cl-,Voltage,,
Q4QRJ2,KCNJ5,KCNJ5 protein,K+ channel; ? gating; ,K+,Voltage,Kir3.4,no
Q4VAQ3,CHRNA4,CHRNA4 protein,cation channel; Ligand-gated;,cation,Ligand,nAChR,doable
Q4VXD4,TRPM3,Transient receptor potential cation channel subfamily M member 3,cation channel; ? gating; Suggested to modulate glucose homeostatis by affecting insulin release (Wikipedia),cation,Ligand. Temperature.,TRPM3,
Q4VXP6,KCNQ2,Potassium voltage-gated channel subfamily KQT member 2,K+ channel; Voltage-gated;,K+,Voltage,Kv7.2,
Q4W595,GLRA3,Putative uncharacterized protein GLRA3,? - unknown protein,Cl-,Ligand,Glycine,
Q4W5F4,GRID2,Putative uncharacterized protein GRID2,? - unknown protein,?,,NMDA,doable
Q4W5L8,GABRA2,Putative uncharacterized protein GABRA2,? - unknown protein,Cl-,Ligand,GABA,
Q4W5P7,TRPC3,Putative uncharacterized protein TRPC3,? - unknown protein,cation,Ligand. Mechanical.,TRPC3,
Q504Y1,TRPM3,TRPM3 protein,cation channel; ? gating;,cation,Ligand. Temperature.,TRPM3,
Q52PU4,TRPV1,Vanilloid receptor variant TRPV1b,Ca2+ channel; ? gating; ,Ca2+,Ligand. Mechanical. Temperature.,TRPV1,
Q53F42,-,"Gamma-aminobutyric acid (GABA) A receptor, alpha 1 variant",Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
Q53FB0,-,Chloride intracellular channel protein,Cl- channel; Voltage-gated; Cell-cycle regulation,Cl-,Voltage,,
Q53FI0,-,"Potassium voltage-gated channel, Isk-related family, member 1-like variant",K+ channel; Voltage-gated;,K+,Voltage,,
Q53G01,CLIC5,Chloride intracellular channel protein,Q53G01,Cl-,Voltage,ClIC5,
Q53HN5,-,"Potassium channel, subfamily K, member 6 variant",K+ channel; Voltage-gated;,K+,Voltage,,
Q53QP0,SCN9A,Putative uncharacterized protein SCN9A,? - unknown protein,Na+,Voltage,Nav1.7,
Q53R59,KCNJ3,Putative uncharacterized protein KCNJ3,? - unknown protein,K+,Voltage,Kir3.1,
Q53S65,CACNB4,Putative uncharacterized protein CACNB4,? - unknown protein,Ca2+,Voltage,cacng4,
Q53SH4,CHRNA1,"Cholinergic receptor, nicotinic, alpha 1 (Muscle), isoform CRA_a",cation channel; Ligand-gated; Acetylcholine activated;,cation,Ligand,nAChR,doable
Q53Y30,KCNQ2,"Potassium voltage-gated channel, KQT-like subfamily, member 2",K+ channel; Voltage-gated;,K+,Voltage,Kv7.2,
Q547K1,KCNJ10,"Potassium inwardly-rectifying channel (IRC) (Kir, IRK)",K+ channel; Ligand-gated;,K+,Voltage,Kir4.1,
Q547S7,KCNG4,"Potassium voltage-gated channel, subfamily G, member 4, isoform CRA_b",K+ channel; Voltage-gated;,K+,Voltage,Kv6.4,
Q547U9,NR2A,"Glutamate receptor, ionotropic, N-methyl D-aspartate 2A",Cation channel; Ligand-gated; Glutamate-gated; ,cation,Ligand,,
Q580I4,CACNB4,Putative uncharacterized protein CACNB4,? - unknown protein,Ca2+,Voltage,cacng4,
Q58F07,KCNJ4,KCNJ4 protein,K+ channel; ? gating; ,K+,Voltage,Kir2.3,
Q59ES2,-,"Inositol 1,4,5-trisphosphate receptor type 3 variant",Ca2+ channel; ? gating;,Ca2+,Ligand,,
Q59EV2,-,P2X purinoceptor,Cation channel; Ligand-gated; ATP-gated;,cation,Ligand,P2X,
Q59EW6,-,N-methyl-D-aspartate receptor subunit 2A variant,? channel; Ligand-gated; Glutamate-gated;,,Ligand,,
Q59F93,-,"Glutamate receptor, ionotropic, AMPA 2 variant",Cation channel; Ligand-gated; Glutamate-gated; ,cation,Ligand,,
Q59FG1,-,Voltage-dependent R-type calcium channel subunit alpha,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,,
Q59FH2,-,Large conductance calcium-activated potassium channel subfamily M alpha member 1 variant,K+ channel; Voltage-gated;,K+,Voltage,,
Q59FJ3,-,"Calcium channel, voltage-dependent, L type, alpha 1B subunit variant",Ca2+ channel; Voltage-gated,Ca2+,Voltage,,
Q59FK9,-,Bestrophin variant,Cl- or Ca2+ channel; ? gating,?,,,
Q59FN5,-,Ryanodine receptor 1 (Skeletal) variant,Ca2+ channel; ? gated; Excitable tissue; Major mediator of Ca2+-induced Ca2+ release (CICR); Primarily in skeletal muscle,Ca2+,Ligand,,
Q59FV0,-,"Cholinergic receptor, nicotinic, alpha polypeptide 4 variant",cation channel; Ligand-gated; Acetylcholine activated;,cation,Ligand,nAChR,doable
Q59G51,-,"Transient receptor potential cation channel, subfamily C, member 5 variant",cation channel; ? gating;,cation,Ligand. Mechanical. Temperature.,,
Q59G56,-,Two pore segment channel 2 variant,?,,,,
Q59GD3,-,"Calcium channel, voltage-dependent, beta 1 subunit isoform 1 variant",Ca2+ channel; Voltage-gated,Ca2+,Voltage,,
Q59GD8,CACNA1D,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant",Ca2+ channel; Voltage-gated,Ca2+,Voltage,Cav1.3 (L-type),yes
Q59GL5,-,"Glutamate receptor, ionotropic, AMPA 1 variant",Cation channel; Ligand-gated; Glutamate-gated; ,cation,Ligand,,
Q59GL7,-,"Glutamate receptor, ionotrophic variant",Cation channel; Ligand-gated; Glutamate-gated; ,cation,Ligand,,
Q59GU3,-,Voltage-dependent L-type calcium channel subunit alpha,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,,
Q59GW0,-,NMDA receptor 1 isoform NR1-2 variant,Cation channel; Ligand-gated; Glutamate-gated;,cation,Ligand,NMDA,doable
Q59H29,-,Shaw-related voltage-gated potassium channel protein 3 variant,K+ channel; Voltage-gated;,K+,Voltage,,
Q59H41,-,NMDA receptor 1 isoform NR1-2 variant,Cation channel; Ligand-gated; Glutamate-gated;,cation,Ligand,NMDA,doable
Q59H42,-,"Calcium channel, voltage-dependent, beta 2 subunit isoform 1 variant",Ca2+ channel; Voltage-gated,Ca2+,Voltage,,
Q59H69,-,Potassium voltage-gated channel KQT-like protein 3 variant,K+ channel; Voltage-gated;,K+,Voltage,,
Q59H71,-,Sodium channel protein type II alpha subunit variant,Na+ channel; Voltage-gated;,Na+,Voltage,,
Q59H91,-,"Inositol 1,4,5-trisphosphate receptor type 1 variant",Ca2+ channel; ? gating;,Ca2+,Ligand,,
Q59HA9,-,Glutamate [NMDA] receptor subunit epsilon 2 variant,Cation channel; Ligand-gated; Glutamate-gated; ,cation,Ligand,,
Q59HF9,-,N-methyl-D-aspartate receptor subunit 2C variant,? channel; Ligand-gated; Glutamate-gated;,,Ligand,,
Q5BLP4,-,CH22143,cation channel; Ligand-gated; ATP-gated;,cation,Ligand,,
Q5DI96,KCNE1,Voltage gated potassium channel accessory subunit cardiac splice isoform KCNE1a,K+ channel; Voltage-gated;,K+,Voltage,,
Q5F0I4,GRIN3B,NMDA receptor subunit 3B,Cation channel; Ligand-gated; Glutamate-gated;,cation,Ligand,NMDA,doable
Q5F0I5,GRIN3B,NMDA receptor subunit 3B,Cation channel; Ligand-gated; Glutamate-gated;,cation,Ligand,NMDA,doable
Q5I6F9,CFTR,Cystic fibrosis transmembrane conductance regulator ATP-binding cassette subfamily C member 7,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q5I6N4,CFTR,Cystic fibrosis transmembrane conductance regulator ATP-binding cassette subfamily C member 7,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q5I6N5,CFTR,Cystic fibrosis transmembrane conductance regulator ATP-binding cassette subfamily C member 7,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q5I6N6,CFTR,Cystic fibrosis transmembrane conductance regulator ATP-binding cassette subfamily C member 7,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q5I6N7,CFTR,Cystic fibrosis transmembrane conductance regulator ATP-binding cassette subfamily C member 7,"Cl- channel; Ligand-gated; ATP activated; ABC transporter class; Mutations affect epithelial fluid transport, leading to cyctic fibrosis; ",Cl-,Ligand,CFTR,
Q5JSD1,VDAC2,Voltage-dependent anion-selective channel protein 2,anion channel; Voltage-gated;,anion,Voltage,,
Q5JSD2,VDAC2,Voltage-dependent anion-selective channel protein 2,anion channel; Voltage-gated;,anion,Voltage,,
Q5JUK3,KCNT1,Potassium channel subfamily T member 1,K+ channel; Voltage-gated;,K+,Ligand,Slo2,
Q5JW98,FAM26D,Protein FAM26D,Cation channel; Voltage-gated; Pore-forming subunit,cation,Voltage,,
Q5JXL4,KCNG1,Potassium voltage-gated channel subfamily G member 1,K+ channel; Voltage-gated;,K+,Voltage,Kv6.1,
Q5JXX5,GLRA4,Glycine receptor subunit alpha-4,Cl- channel; Ligand-gated; Glycine-gated; Downregulates neuronal excitability;,Cl-,Ligand,Glycine,
Q5KTC1,TRPM2,"Transient receptor potential cation channel, subfamily M, member 2, striatum short form (SSF-TRPM2)",cation channel; ? gating;,cation,Ligand. Temperature.,TRPM2,
Q5R3K3,FAM26F,Protein FAM26F,Cation channel; Voltage-gated; Pore-forming subunit,cation,Voltage,,
Q5SNW4,CLCN6,Chloride transport protein 6,Cl- channel; Voltage-gated;,Cl-,Voltage,ClvC6,
Q5SRT3,CLIC1,Chloride intracellular channel protein,Cl- channel; Voltage-gated; Cell-cycle regulation,Cl-,Voltage,ClIC1,
Q5SVJ7,KCNMA1,Calcium-activated potassium channel subunit alpha-1,K+ channel; Voltage-gated; Ca2+ activated; ,K+,Ligand,Slo1 (KCa1.1),
Q5SVJ8,KCNMA1,Calcium-activated potassium channel subunit alpha-1,K+ channel; Voltage-gated; Ca2+ activated; ,K+,Ligand,Slo1 (KCa1.1),
Q5SVJ9,KCNMA1,Calcium-activated potassium channel subunit alpha-1,K+ channel; Voltage-gated; Ca2+ activated; ,K+,Ligand,Slo1 (KCa1.1),
Q5SVK0,KCNMA1,Calcium-activated potassium channel subunit alpha-1,K+ channel; Voltage-gated; Ca2+ activated; ,K+,Ligand,Slo1 (KCa1.1),
Q5SVK5,KCNMA1,Calcium-activated potassium channel subunit alpha-1,K+ channel; Voltage-gated; Ca2+ activated; ,K+,Ligand,Slo1 (KCa1.1),
Q5SXY3,CHRNB2,"Cholinergic receptor, nicotinic, beta 2 (Neuronal)",cation channel; Ligand-gated; Acetylcholine activated;,cation,Ligand,nAChR,doable
Q5SY80,C1orf101,Uncharacterized protein C1orf101,? - unknown protein,,,,
Q5T5C0,STXBP5,Syntaxin-binding protein 5,NOT AN ION CHANNEL; Inhibits membrane fusion between transport vesicles and plasma membrane,,,,
Q5T5E6,KCNK1,Potassium channel subfamily K member 1,K+ channel; Voltage-gated;,K+,Voltage,TWIK-1,
Q5TG78,KCNAB2,Voltage-gated potassium channel subunit beta-2,K+ channel; Voltage-gated;,K+,Voltage,KvBeta2,
Q5TG80,KCNAB2,Voltage-gated potassium channel subunit beta-2,K+ channel; Voltage-gated;,K+,Voltage,KvBeta2,
Q5TG81,KCNAB2,Voltage-gated potassium channel subunit beta-2,K+ channel; Voltage-gated;,K+,Voltage,KvBeta2,
Q5TG84,KCNAB2,Voltage-gated potassium channel subunit beta-2,K+ channel; Voltage-gated;,K+,Voltage,KvBeta2,
Q5U0K8,SCN2B,"Sodium channel, voltage-gated, type II, beta",Na+ channel; Voltage-gated;,Na+,Voltage,,
Q5UM67,CAVB2G,Voltage-dependent calcium channel beta 2g subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,,
Q5UM68,CAVB2F,Voltage-dependent calcium channel beta 2f subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,,
Q5V9X8,CACNA1C,"Voltage-gated L-type calcium channel Cav1.2 alpha 1 subunit, splice variant 10*",Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav1.2 (L-type),yes
Q5V9X9,CACNA1C,"Voltage-gated L-type calcium channel Cav1.2 alpha 1 subunit, splice variant 9*",Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav1.2 (L-type),yes
Q5VSF9,GRIN1,"Glutamate receptor ionotropic, NMDA 1",Cation channel; Ligand-gated; Glutamate-gated; ,cation,Ligand,NMDA,doable
Q5VU50,BSND,"Bartter syndrome, infantile, with sensorineural deafness (Barttin)",Cl- channel; ? gating; ,Cl-,Voltage,,
