ProbesetID	Num_matched_probes	RefSeq	UniGene	RIKEN	EntrezGene	Symbol	Description	Ensembl_representative	Cross_hyb_EntrezGeneIDs
gnf1h03778_s_at	11	NM_020066			56776	FMN2	formin 2		
gnf1h03779_s_at	11	NM_002924			6000	RGS7	regulator of G-protein signalling 7		
gnf1h03780_at						SHARP	SMART/HDAC1 associated repressor protein		
gnf1h03781_x_at						SHARP	SMART/HDAC1 associated repressor protein		
gnf1h03782_at	11		Hs.542229				PNAS-19		
gnf1h03783_at							Gene:ENSG00000143737 Clone:AC023889 Contig:AC023889.3.114866.142334 Chr:chr1 basepair:264947017		
gnf1h03784_at						C3orf4	chromosome 3 open reading frame 4		
gnf1h03785_at	11	NM_053052			116841	C1orf142	chromosome 1 open reading frame 142		
gnf1h03786_s_at	11	NM_053052			116841	C1orf142	chromosome 1 open reading frame 142		
gnf1h03787_x_at							Gene:ENSG00000143745 Clone:AC069098 Contig:AC069098.2.100490.111366 Chr:chr2 basepair:418232		
gnf1h03788_x_at	10		Hs.528507		127602	LOC127602	similar to RIKEN cDNA A230079K17		
gnf1h03789_x_at	8		Hs.528507		127602	LOC127602	similar to RIKEN cDNA A230079K17		
gnf1h03790_x_at	8		Hs.528507		127602	LOC127602	similar to RIKEN cDNA A230079K17		
gnf1h03791_x_at							Gene:ENSG00000143764 Clone:AL359510 Contig:AL359510.11.45892.74864 Chr:chr1 basepair:264562763		
gnf1h03792_at							Gene:ENSG00000143765 Clone:AL136378 Contig:AL136378.8.67806.130792 Chr:chr1 basepair:263922702		
gnf1h03793_s_at							Gene:ENSG00000143765 Clone:AL136378 Contig:AL136378.8.67806.130792 Chr:chr1 basepair:263922702		
gnf1h03794_at						KIAA1639	KIAA1639 protein		
gnf1h03795_at							Gene:ENSG00000143775 Clone:AC004916 Contig:AC004916.2.1.129014 Chr:chr1 basepair:264364546		
gnf1h03796_at							Gene:ENSG00000143779 Clone:AL391811 Contig:AL391811.7.1.150424 Chr:chr1 basepair:260744004		
gnf1h03797_at							Gene:ENSG00000143792 Clone:AL359923 Contig:AL359923.11.69673.90925 Chr:chr1 basepair:260167359		
gnf1h03798_s_at	11		Hs.467634		129642	OACT2	O-acyltransferase (membrane bound) domain containing 2		
gnf1h03799_s_at	11		Hs.528507		127602	LOC127602	similar to RIKEN cDNA A230079K17		
gnf1h03800_at	11	NM_052843	Hs.231655		84033	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF		
gnf1h03801_at							Gene:ENSG00000143813 Clone:AC011747 Contig:AC011747.7.130339.191182 Chr:chr2 basepair:9268718		
gnf1h03802_s_at	11	NM_020247	Hs.118241		56997	CABC1	chaperone, ABC1 activity of bc1 complex like (S. pombe)		
gnf1h03803_x_at						LOC56997	hypothetical protein, clone Telethon(Italy_B41)_Strait02270_FL142		
gnf1h03804_at							Gene:ENSG00000143820 Clone:AL117348 Contig:AL117348.25.1.127736 Chr:chr1 basepair:262024350		
gnf1h03805_x_at							Gene:ENSG00000143820 Clone:AL117348 Contig:AL117348.25.1.127736 Chr:chr1 basepair:262024350		
gnf1h03806_x_at						ARS2	arsenate resistance protein ARS2		
gnf1h03807_at							Gene:ENSG00000143836 Clone:AC010880 Contig:AC010880.8.1.115431 Chr:chr2 basepair:17295013		
gnf1h03808_x_at							Gene:ENSG00000143836 Clone:AC010880 Contig:AC010880.8.1.115431 Chr:chr2 basepair:17295013		
gnf1h03809_at	11	NM_015090	Hs.13349		23114	NFASC	neurofascin homolog (chicken)		
gnf1h03810_s_at	11	NM_015090	Hs.13349		23114	NFASC	neurofascin homolog (chicken)		
gnf1h03811_at						KIAA0756	KIAA0756 protein		
gnf1h03812_s_at	11	NM_015090	Hs.13349		23114	NFASC	neurofascin homolog (chicken)		
gnf1h03813_at							Gene:ENSG00000143838 Clone:AL356980 Contig:AL356980.4.104425.117925 Chr:chr1 basepair:237639254		
gnf1h03814_at							Gene:ENSG00000143844 Clone:AC015973 Contig:AC015973.2.1.171834 Chr:chr1 basepair:236454247		
gnf1h03815_at						KIAA1213	KIAA1213 protein		
gnf1h03816_s_at	11	NM_177402			127833	SYT2	synaptotagmin II		
gnf1h03817_s_at	11	NM_198447	Hs.532401		127845	GOLT1A	golgi transport 1 homolog A (S. cerevisiae)		
gnf1h03818_x_at	11	NM_198447	Hs.532401		127845	GOLT1A	golgi transport 1 homolog A (S. cerevisiae)		
gnf1h03819_at							Gene:ENSG00000143860 Clone:AL589762 Contig:AL589762.3.64826.95260 Chr:chr1 basepair:236362569		
gnf1h03820_x_at							Gene:ENSG00000143860 Clone:AL589762 Contig:AL589762.3.64826.95260 Chr:chr1 basepair:236362569		
gnf1h03821_at	11	NM_020443			89796	NAV1	neuron navigator 1		
gnf1h03822_at							Gene:ENSG00000143864 Clone:AC019055 Contig:AC019055.5.1.176383 Chr:chr2 basepair:20617651		
gnf1h03823_x_at							Gene:ENSG00000143864 Clone:AC019055 Contig:AC019055.5.1.176383 Chr:chr2 basepair:20617651		
gnf1h03824_at							Gene:ENSG00000143868 Clone:AC007240 Contig:AC007240.2.1.203250 Chr:chr2 basepair:11101162		
gnf1h03825_at	10						ENST00000355709 transcript (in rel.42.36d)	ENST00000355709	
gnf1h03826_at							Gene:ENSG00000143874 Clone:AC012065 Contig:AC012065.8.1.206021 Chr:chr2 basepair:21458751		
gnf1h03827_x_at							Gene:ENSG00000143874 Clone:AC012065 Contig:AC012065.8.1.206021 Chr:chr2 basepair:21458751		
gnf1h03828_x_at						P5	protein disulfide isomerase-related protein		
gnf1h03829_s_at						P5	protein disulfide isomerase-related protein		
gnf1h03830_at						P5	protein disulfide isomerase-related protein		
gnf1h03831_s_at	11	NM_019024	Hs.591564		54497	KIAA1414	KIAA1414 protein		
gnf1h03832_s_at	11	NM_019024	Hs.591564		54497	KIAA1414	KIAA1414 protein		
gnf1h03833_at							Gene:ENSG00000143902 Clone:AC015980 Contig:AC015980.2.168714.181599 Chr:chr2 basepair:32773714		
gnf1h03834_s_at	11		Hs.468059		440854	CAPN14	calpain 14		
gnf1h03835_at						ALK	anaplastic lymphoma kinase (Ki-1)		
gnf1h03836_x_at						ALK	anaplastic lymphoma kinase (Ki-1)		
gnf1h03837_at						CAPN13	calpain 13		
gnf1h03838_at						ALK	anaplastic lymphoma kinase (Ki-1)		
gnf1h03839_s_at	11	NM_004304			238	ALK	anaplastic lymphoma kinase (Ki-1)		
gnf1h03840_s_at	11	NM_206943	Hs.49787		4052	LTBP1	latent transforming growth factor beta binding protein 1		
gnf1h03841_at							Gene:ENSG00000143910 Clone:AL121657 Contig:AL121657.2.1.151949 Chr:chr2 basepair:32858106		
gnf1h03842_at	11		Hs.468048		253558	LYCAT	lysocardiolipin acyltransferase		
gnf1h03843_at						FLJ21877	hypothetical protein FLJ21877		
gnf1h03844_at							Gene:ENSG00000143916 Clone:AC012354 Contig:AC012354.8.1.171166 Chr:chr2 basepair:48323262		
gnf1h03845_x_at							Gene:ENSG00000143916 Clone:AC012354 Contig:AC012354.8.1.171166 Chr:chr2 basepair:48323262		
gnf1h03846_at	11	NM_148962			165140	OXER1	oxoeicosanoid (OXE) receptor 1		
gnf1h03847_at						MUM2	MUM2 protein		
gnf1h03848_at							Gene:ENSG00000143932 Clone:AC079807 Contig:AC079807.3.108889.183071 Chr:chr2 basepair:51456999		
gnf1h03849_x_at							Gene:ENSG00000143932 Clone:AC079807 Contig:AC079807.3.108889.183071 Chr:chr2 basepair:51456999		
gnf1h03850_at							Gene:ENSG00000143934 Clone:AC073283 Contig:AC073283.7.91323.183651 Chr:chr2 basepair:50493711		
gnf1h03851_x_at							Gene:ENSG00000143934 Clone:AC073283 Contig:AC073283.7.91323.183651 Chr:chr2 basepair:50493711		
gnf1h03852_x_at						KCNK12	potassium channel, subfamily K, member 12		
gnf1h03853_at							Gene:ENSG00000143941 Clone:AC023927 Contig:AC023927.2.100012.141654 Chr:chr2 basepair:58991728		
gnf1h03854_s_at	10	NM_033109	Hs.388733		87178	PNPT1	polyribonucleotide nucleotidyltransferase 1		
gnf1h03855_x_at	8	NM_033109	Hs.388733		87178	PNPT1	polyribonucleotide nucleotidyltransferase 1		
gnf1h03856_at							Gene:ENSG00000143946 Clone:AC007682 Contig:AC007682.3.1.189968 Chr:chr2 basepair:55086207		
gnf1h03857_at	11	NM_032506	Hs.468653		84542	KIAA1841	KIAA1841 protein		
gnf1h03858_s_at	11	NM_032506	Hs.468653		84542	KIAA1841	KIAA1841 protein		
gnf1h03859_at	11		Hs.447084		130120	REG3G	regenerating islet-derived 3 gamma		
gnf1h03860_s_at						PAP	pancreatitis-associated protein		
gnf1h03861_x_at							Gene:ENSG00000143962 Clone:AC013403 Contig:AC013403.8.70135.160680 Chr:chr2 basepair:28892619		
gnf1h03862_s_at						HADHA	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit		
gnf1h03863_at							Gene:ENSG00000143973 Clone:AC017083 Contig:AC017083.6.42622.202191 Chr:chr2 basepair:72588107		
gnf1h03864_s_at							Gene:ENSG00000143973 Clone:AC017083 Contig:AC017083.6.42622.202191 Chr:chr2 basepair:72588107		
gnf1h03865_x_at							Gene:ENSG00000143973 Clone:AC017083 Contig:AC017083.6.42622.202191 Chr:chr2 basepair:72588107		
gnf1h03866_x_at							Gene:ENSG00000143984 Clone:AC015977 Contig:AC015977.9.1.176625 Chr:chr2 basepair:28231703		
gnf1h03867_at	11		Hs.641954				Transcribed locus		
gnf1h03868_at						FLJ14497	hypothetical protein FLJ14497		
gnf1h03869_s_at	11	NM_032797			84883	AMID	apoptosis-inducing factor (AIF)-like mitochondrion-associated inducer of death		
gnf1h03870_s_at	11	NM_173535	Hs.354972		165530	CLEC4F	C-type lectin domain family 4, member F	ENST00000272367	
gnf1h03871_at	9		Hs.528395		344065	LOC344065	similar to zinc finger protein 135 (clone pHZ-17); zinc finger protein 61		
gnf1h03872_x_at	10		Hs.528395		344065	LOC344065	similar to zinc finger protein 135 (clone pHZ-17); zinc finger protein 61		
gnf1h03873_s_at							Gene:ENSG00000144010 Clone:AC009237 Contig:AC009237.3.1.170102 Chr:chr2 basepair:99263676		
gnf1h03874_x_at							Gene:ENSG00000144011 Clone:AC009237 Contig:AC009237.3.1.170102 Chr:chr2 basepair:99120538		
gnf1h03875_at	11		Hs.528395		344065	LOC344065	similar to zinc finger protein 135 (clone pHZ-17); zinc finger protein 61		
gnf1h03876_at							Gene:ENSG00000144014 Clone:AC024170 Contig:AC024170.3.116332.134093 Chr:chr2 basepair:98592567		
gnf1h03877_x_at							Gene:ENSG00000144014 Clone:AC024170 Contig:AC024170.3.116332.134093 Chr:chr2 basepair:98592567		
gnf1h03878_s_at	11		Hs.232026		129868	TRIM43	tripartite motif-containing 43		
gnf1h03879_at	11	NM_001002036	Hs.447993		431705	ASTL	astacin-like metalloendopeptidase (M12 family)	ENST00000342380	
gnf1h03880_at	10	XR_018178			642929		Gene:ENSG00000144019 Clone:AC024170 Contig:AC024170.3.69733.77352 Chr:chr2 basepair:98390979		
gnf1h03881_x_at							Gene:ENSG00000144019 Clone:AC024170 Contig:AC024170.3.69733.77352 Chr:chr2 basepair:98390979		
gnf1h03882_at	11	NM_014014	Hs.246112		23020	ASCC3L1	activating signal cointegrator 1 complex subunit 3-like 1		
gnf1h03883_s_at	11		Hs.590916		7549	ZNF2	zinc finger protein 2		
gnf1h03884_at							Gene:ENSG00000144026 Clone:AC092835 Contig:AC092835.1.111008.152847 Chr:chr2 basepair:98756060		
gnf1h03885_at	11	NM_024933	Hs.512744		79998	FLJ12056	hypothetical protein FLJ12056		
gnf1h03886_s_at	11	NM_001009812	Hs.554975		85474	LBX2	ladybird homeobox homolog 2 (Drosophila)		
gnf1h03887_at							Gene:ENSG00000144040 Clone:AC012366 Contig:AC012366.10.1.197775 Chr:chr2 basepair:76999509		
gnf1h03888_s_at	11	NM_144579			94097	SFXN5	sideroflexin 5	ENST00000272433	
gnf1h03889_x_at							Gene:ENSG00000144041 Clone:AC010913 Contig:AC010913.9.1.209161 Chr:chr2 basepair:77313073		
gnf1h03890_at							Gene:ENSG00000144051 Clone:AC018880 Contig:AC018880.6.1.127025 Chr:chr2 basepair:107373669		
gnf1h03891_at							Gene:ENSG00000144053 Clone:AC073643 Contig:AC073643.2.55791.174595 Chr:chr2 basepair:105030308		
gnf1h03892_s_at	11	NM_173647	Hs.142074		284996	RNF149	ring finger protein 149	ENST00000295317	
gnf1h03893_x_at							Gene:ENSG00000144059 Clone:AC046192 Contig:AC046192.3.35866.42757 Chr:chr2 basepair:114950932		
gnf1h03894_at							Gene:ENSG00000144074 Clone:AC022934 Contig:AC022934.2.69085.86843 Chr:chr2 basepair:94368567		
gnf1h03895_x_at							Gene:ENSG00000144074 Clone:AC022934 Contig:AC022934.2.69085.86843 Chr:chr2 basepair:94368567		
gnf1h03896_at							Gene:ENSG00000144085 Clone:AC009958 Contig:AC009958.3.1.211201 Chr:chr2 basepair:94579341		
gnf1h03897_at							Gene:ENSG00000144086 Clone:AC012511 Contig:AC012511.6.29569.184446 Chr:chr2 basepair:91522982		
gnf1h03898_x_at							Gene:ENSG00000144086 Clone:AC012511 Contig:AC012511.6.29569.184446 Chr:chr2 basepair:91522982		
gnf1h03899_at	11						ENST00000357453 transcript (in rel.42.36d)	ENST00000357453	
gnf1h03900_s_at	11	NM_001029996	Hs.496753		200373	MGC33657	similar to hypothetical protein	ENST00000295220	
gnf1h03901_s_at	11	NM_001029996	Hs.496753		200373	MGC33657	similar to hypothetical protein	ENST00000295220	
gnf1h03902_at							Gene:ENSG00000144125 Clone:AC064870 Contig:AC064870.3.1.194615 Chr:chr2 basepair:121635039		
gnf1h03903_at	8		Hs.589714		284958	NT5DC4	5'-nucleotidase domain containing 4		
gnf1h03904_x_at							Gene:ENSG00000144131 Clone:AC016683 Contig:AC016683.7.1.179937 Chr:chr2 basepair:116951336		
gnf1h03905_s_at							Gene:ENSG00000144140 Clone:AL078621 Contig:AL078621.19.1.176734 Chr:chr2 basepair:117259132		
gnf1h03906_x_at							Gene:ENSG00000144140 Clone:AL078621 Contig:AL078621.19.1.176734 Chr:chr2 basepair:117259132		
gnf1h03907_at						MGC13005	hypothetical protein MGC13005		
gnf1h03908_s_at						MGC13005	hypothetical protein MGC13005		
gnf1h03909_s_at	11	NM_153214			129804	FLJ37440	hypothetical protein FLJ37440		
gnf1h03910_at							Gene:ENSG00000144164 Clone:AC062027 Contig:AC062027.3.142489.176029 Chr:chr2 basepair:115516043		
gnf1h03911_at	9	NM_005270	Hs.111867		2736	GLI2	GLI-Kruppel family member GLI2	ENST00000361492	
gnf1h03912_at							Gene:ENSG00000144168 Clone:AC019159 Contig:AC019159.8.1.163085 Chr:chr2 basepair:128855066		
gnf1h03913_x_at							Gene:ENSG00000144168 Clone:AC019159 Contig:AC019159.8.1.163085 Chr:chr2 basepair:128855066		
gnf1h03914_at							Gene:ENSG00000144169 Clone:AC019159 Contig:AC019159.8.1.163085 Chr:chr2 basepair:128932298		
gnf1h03915_x_at							Gene:ENSG00000144170 Clone:AC068539 Contig:AC068539.5.1.2651 Chr:chr2 basepair:100519519		
gnf1h03916_at							Gene:ENSG00000144173 Clone:AC092667 Contig:AC092667.1.56939.173207 Chr:chr2 basepair:103727602		
gnf1h03917_x_at							Gene:ENSG00000144173 Clone:AC092667 Contig:AC092667.1.56939.173207 Chr:chr2 basepair:103727602		
gnf1h03918_at							Gene:ENSG00000144172 Clone:AC013441 Contig:AC013441.8.67386.182567 Chr:chr2 basepair:126774883		
gnf1h03919_x_at							Gene:ENSG00000144177 Clone:AC018892 Contig:AC018892.8.1.191055 Chr:chr2 basepair:101252140		
gnf1h03920_at	11	NM_015282	Hs.469840		23332	CLASP1	cytoplasmic linker associated protein 1	ENST00000263710	
gnf1h03921_s_at							Gene:ENSG00000144185 Clone:AC017099 Contig:AC017099.11.1.230426 Chr:chr2 basepair:100924646		
gnf1h03922_at							Gene:ENSG00000144186 Clone:AC018804 Contig:AC018804.8.121390.199668 Chr:chr2 basepair:135127227		
gnf1h03923_at							Gene:ENSG00000144189 Clone:AC092675 Contig:AC092675.1.1.182330 Chr:chr2 basepair:102011713		
gnf1h03924_at							Gene:ENSG00000144190 Clone:AC018688 Contig:AC018688.8.52463.174238 Chr:chr2 basepair:135881608		
gnf1h03925_s_at	10		Hs.631585		374900	ZNF568	zinc finger protein 568		
gnf1h03926_at	11						ENST00000272607 transcript (in rel.42.36d)	ENST00000272607	
gnf1h03927_at							Gene:ENSG00000144197 Clone:AC092587 Contig:AC092587.1.9319.34669 Chr:chr2 basepair:102806423		
gnf1h03928_x_at						DKFZP564C186	DKFZP564C186 protein		
gnf1h03929_at							Gene:ENSG00000144205 Clone:AC013269 Contig:AC013269.9.66885.115727 Chr:chr2 basepair:135445957		
gnf1h03930_s_at	11		Hs.632523		646743		Gene:ENSG00000144205 Clone:AC013269 Contig:AC013269.9.66885.115727 Chr:chr2 basepair:135445957		
gnf1h03931_x_at							Gene:ENSG00000144211 Clone:AC017099 Contig:AC017099.11.1.230426 Chr:chr2 basepair:100981364		
gnf1h03932_at							Gene:ENSG00000144215 Clone:AC092683 Contig:AC092683.1.90479.137706 Chr:chr2 basepair:100744217		
gnf1h03933_x_at							Gene:ENSG00000144215 Clone:AC092683 Contig:AC092683.1.90479.137706 Chr:chr2 basepair:100744217		
gnf1h03934_s_at	11		Hs.444414		3899	AFF3	AF4/FMR2 family, member 3		
gnf1h03935_at							Gene:ENSG00000144221 Clone:AC018892 Contig:AC018892.8.1.191055 Chr:chr2 basepair:101235805		
gnf1h03936_x_at							Gene:ENSG00000144221 Clone:AC018892 Contig:AC018892.8.1.191055 Chr:chr2 basepair:101235805		
gnf1h03937_x_at							Gene:ENSG00000144221 Clone:AC018892 Contig:AC018892.8.1.191055 Chr:chr2 basepair:101235805		
gnf1h03938_at							Gene:ENSG00000144225 Clone:AC016725 Contig:AC016725.4.1.203802 Chr:chr2 basepair:140346858		
gnf1h03939_s_at	11	NM_138326	Hs.643571		130013	ACMSD	aminocarboxymuconate semialdehyde decarboxylase		
gnf1h03940_at	10	NM_007226	Hs.435019		11249	NXPH2	neurexophilin 2	ENST00000272641	
gnf1h03941_at	11	NM_001001665	Hs.407639		339761	FLJ16008	FLJ16008 protein	ENST00000335247	
gnf1h03942_at	11	XR_015695					Gene:ENSG00000144239 Clone:AC018804 Contig:AC018804.8.36155.58300 Chr:chr2 basepair:134738453		
gnf1h03943_at							Gene:ENSG00000144243 Clone:AC064865 Contig:AC064865.6.1.197164 Chr:chr2 basepair:151005165		
gnf1h03944_x_at							Gene:ENSG00000144243 Clone:AC064865 Contig:AC064865.6.1.197164 Chr:chr2 basepair:151005165		
gnf1h03945_s_at	11		Hs.154578		4648	MYO7B	myosin VIIB	ENST00000389524	
gnf1h03946_at							Gene:ENSG00000144245 Clone:AC010976 Contig:AC010976.5.1.204140 Chr:chr2 basepair:132143959		
gnf1h03947_s_at	11		Hs.154578		4648	MYO7B	myosin VIIB	ENST00000389524	
gnf1h03948_x_at	10		Hs.154578		4648	MYO7B	myosin VIIB		
gnf1h03949_at							Gene:ENSG00000144248 Clone:AC068282 Contig:AC068282.4.168870.201224 Chr:chr2 basepair:132022159		
gnf1h03950_x_at							Gene:ENSG00000144248 Clone:AC068282 Contig:AC068282.4.168870.201224 Chr:chr2 basepair:132022159		
gnf1h03951_at	11	NM_001001665	Hs.407639		339761	FLJ16008	FLJ16008 protein	ENST00000335247	
gnf1h03952_at							Gene:ENSG00000144253 Clone:AC020591 Contig:AC020591.6.1.139347 Chr:chr2 basepair:133030476		
gnf1h03953_x_at							Gene:ENSG00000144253 Clone:AC020591 Contig:AC020591.6.1.139347 Chr:chr2 basepair:133030476		
gnf1h03954_at							Gene:ENSG00000144255 Clone:AC079793 Contig:AC079793.4.65398.67479 Chr:chr2 basepair:148992689		
gnf1h03955_at							Gene:ENSG00000144257 Clone:AC079793 Contig:AC079793.4.114558.116933 Chr:chr2 basepair:149039328		
gnf1h03956_at							Gene:ENSG00000144258 Clone:AC079793 Contig:AC079793.4.191413.195805 Chr:chr2 basepair:149025923		
gnf1h03957_s_at							Gene:ENSG00000144258 Clone:AC079793 Contig:AC079793.4.191413.195805 Chr:chr2 basepair:149025923		
gnf1h03958_at							Gene:ENSG00000144258 Clone:AC079793 Contig:AC079793.4.191413.195805 Chr:chr2 basepair:149025923		
gnf1h03959_at							Gene:ENSG00000144260 Clone:AC079793 Contig:AC079793.4.218367.226155 Chr:chr2 basepair:149139739		
gnf1h03960_at						NEB	nebulin		
gnf1h03961_at							Gene:ENSG00000144269 Clone:AC009497 Contig:AC009497.3.1.183105 Chr:chr2 basepair:157039004		
gnf1h03962_at							Gene:ENSG00000144270 Clone:AC009969 Contig:AC009969.9.1.166892 Chr:chr2 basepair:158197762		
gnf1h03963_x_at							Gene:ENSG00000144274 Clone:AC012443 Contig:AC012443.7.1.153970 Chr:chr2 basepair:158074785		
gnf1h03964_at							Gene:ENSG00000144282 Clone:AC005042 Contig:AC005042.1.1.192218 Chr:chr2 basepair:164671019		
gnf1h03965_at	11	NM_173512			151258	FLJ39822	hypothetical protein FLJ39822	ENST00000303735	
gnf1h03966_x_at							Gene:ENSG00000144298 Clone:AC018470 Contig:AC018470.10.52049.174590 Chr:chr2 basepair:181113804		
gnf1h03967_at							Gene:ENSG00000144301 Clone:AC018890 Contig:AC018890.11.1.173965 Chr:chr2 basepair:181799830		
gnf1h03968_x_at							Gene:ENSG00000144301 Clone:AC018890 Contig:AC018890.11.1.173965 Chr:chr2 basepair:181799830		
gnf1h03969_s_at	11						ENST00000332261 transcript (in rel.42.36d)	ENST00000332261	
gnf1h03970_at	11					SP3	ENST00000310015 transcript (in rel.42.36d)	ENST00000310015	
gnf1h03971_x_at	11					SP3	ENST00000310015 transcript (in rel.42.36d)	ENST00000310015	
gnf1h03972_at	11	NM_080876	Hs.132237		142679	DUSP19	dual specificity phosphatase 19	ENST00000354221	
gnf1h03973_at	11	NM_194250	Hs.159528		91752	C2orf10	chromosome 2 open reading frame 10	ENST00000302277	
gnf1h03974_at							Gene:ENSG00000144326 Clone:AC079305 Contig:AC079305.3.84082.197386 Chr:chr2 basepair:185811258		
gnf1h03975_x_at							Gene:ENSG00000144326 Clone:AC079305 Contig:AC079305.3.84082.197386 Chr:chr2 basepair:185811258		
gnf1h03976_at						TTN	titin		
gnf1h03977_at	11	NM_152520	Hs.580076		151126	ZNF533	zinc finger protein 533	ENST00000336917	
gnf1h03978_s_at	11	NM_152520	Hs.580076		151126	ZNF533	zinc finger protein 533	ENST00000336917	
gnf1h03979_at							Gene:ENSG00000144334 Clone:AC055890 Contig:AC055890.2.117978.126944 Chr:chr2 basepair:189181751		
gnf1h03980_x_at							Gene:ENSG00000144334 Clone:AC055890 Contig:AC055890.2.117978.126944 Chr:chr2 basepair:189181751		
gnf1h03981_at	11	NM_018897	Hs.97403		56171	DNAH7	dynein, axonemal, heavy polypeptide 7	ENST00000312428	
gnf1h03982_at	11	NM_012223	Hs.439620		4430	MYO1B	myosin IB		
gnf1h03983_x_at	11	NM_012223	Hs.439620		4430	MYO1B	myosin IB		
gnf1h03984_x_at	10	NM_199227			254042	MAP1D	methionine aminopeptidase 1D	ENST00000315796	
gnf1h03985_at	11	NM_172070	Hs.379548		130507	ZNF650	zinc finger protein 650	ENST00000272793	
gnf1h03986_s_at	11	NM_172070	Hs.379548		130507	ZNF650	zinc finger protein 650	ENST00000272793	
gnf1h03987_x_at						COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)		
gnf1h03988_x_at							Gene:ENSG00000144361 Clone:AC068718 Contig:AC068718.6.1.161955 Chr:chr2 basepair:196510010		
gnf1h03989_at	11	NM_144711	Hs.445603		151230	KLHL23	kelch-like 23 (Drosophila)	ENST00000272797	
gnf1h03990_s_at	11	NM_144711	Hs.445603		151230	KLHL23	kelch-like 23 (Drosophila)	ENST00000272797	
gnf1h03991_at							Gene:ENSG00000144363 Clone:AC013439 Contig:AC013439.11.1.167891 Chr:chr2 basepair:198292314		
gnf1h03992_x_at							Gene:ENSG00000144370 Clone:AC018735 Contig:AC018735.11.37665.121641 Chr:chr2 basepair:195370462		
gnf1h03993_at							Gene:ENSG00000144371 Clone:AC012594 Contig:AC012594.7.1.166702 Chr:chr2 basepair:176933009		
gnf1h03994_s_at	11	NM_138995	Hs.534101		140469	MYO3B	myosin IIIB		
gnf1h03995_at	9	NM_182521	Hs.375054		151112	ZSWIM2	zinc finger, SWIM-type containing 2	ENST00000295131	
gnf1h03996_at							Gene:ENSG00000144375 Clone:AC009967 Contig:AC009967.7.94331.177120 Chr:chr2 basepair:176247053		
gnf1h03997_x_at							Gene:ENSG00000144380 Clone:AC013468 Contig:AC013468.12.1.84115 Chr:chr2 basepair:198538617		
gnf1h03998_at	11	NM_138395	Hs.116602		92935	MARS2	methionine-tRNA synthetase 2 (mitochondrial)	ENST00000282276	
gnf1h03999_at							Gene:ENSG00000144393 Clone:AC091232 Contig:AC091232.1.62257.64260 Chr:chr2 basepair:209431981		
gnf1h04000_at							Gene:ENSG00000144397 Clone:AC068544 Contig:AC068544.6.16705.162056 Chr:chr2 basepair:205469313		
gnf1h04001_at	9	NM_001039693	Hs.204619		129450	FLJ37953	hypothetical protein FLJ37953	ENST00000354611	
gnf1h04002_s_at	11	NM_001039693	Hs.204619		129450	FLJ37953	hypothetical protein FLJ37953		
gnf1h04003_at	11	NM_015040	Hs.173939		200576	PIP5K3	phosphatidylinositol-3-phosphate/phosphatidylinositol 5-kinase, type III	ENST00000264380	
gnf1h04004_at	11		Hs.110489		57683	KIAA1571	KIAA1571 protein		
gnf1h04005_at	11		Hs.570298		84540	KIAA1843	KIAA1843 protein	ENST00000272845	
gnf1h04006_at	11		Hs.570298		84540	KIAA1843	KIAA1843 protein	ENST00000272845	
gnf1h04007_s_at	11		Hs.570298		84540	KIAA1843	KIAA1843 protein		
gnf1h04008_s_at	11					KIAA1843	ENST00000333907 transcript (in rel.42.36d)	ENST00000333907	
gnf1h04009_at	10		Hs.408054		65065	NBEAL1	neurobeachin-like 1	ENST00000272869	
gnf1h04010_at	11		Hs.408054		65065	NBEAL1	neurobeachin-like 1		
gnf1h04011_at							Gene:ENSG00000144428 Clone:AC023271 Contig:AC023271.11.1.106499 Chr:chr2 basepair:212999618		
gnf1h04012_x_at							Gene:ENSG00000144428 Clone:AC023271 Contig:AC023271.11.1.106499 Chr:chr2 basepair:212999618		
gnf1h04013_at							Gene:ENSG00000144429 Clone:AC009965 Contig:AC009965.9.1.181700 Chr:chr2 basepair:214023539		
gnf1h04014_x_at							Gene:ENSG00000144433 Clone:AC069314 Contig:AC069314.2.109962.125324 Chr:chr2 basepair:213586076		
gnf1h04015_at	11						ENST00000272885 transcript (in rel.42.36d)	ENST00000272885	
gnf1h04016_s_at							Gene:ENSG00000144445 Clone:AC006994 Contig:AC006994.4.1.192104 Chr:chr2 basepair:220056594		
gnf1h04017_at							Gene:ENSG00000144445 Clone:AC006994 Contig:AC006994.4.1.192104 Chr:chr2 basepair:220056594		
gnf1h04018_at	10		Hs.283883		646215	LOC646215	ENST00000272893 transcript (in rel.42.36d)	ENST00000272893	
gnf1h04019_at	11		Hs.134585		26154	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12		
gnf1h04020_at	11		Hs.134585		26154	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12		
gnf1h04021_at	8	NM_182760	Hs.588682		285362	SUMF1	sulfatase modifying factor 1		
gnf1h04022_s_at	11	NM_182760	Hs.588682		285362	SUMF1	sulfatase modifying factor 1		
