#UniProt	Protein name					  Target ID	    Compound Key  Compound ID	    Compound Name	   First Approval Withdrawn Flag	Description of mech. of action.	   Action Type
A5X5Y0        Serotonin 3 (5-HT3) receptor                        CHEMBL2094132     RG3487        CHEMBL3544952     RG3487                                 0   Serotonin 3 (5-HT3) receptor antagonist             ANTAGONIST                    
A5X5Y0        Serotonin 3 (5-HT3) receptor                        CHEMBL2094132     TEDATIOXETIN  CHEMBL2104986     TEDATIOXETINE                          0   Serotonin 3 (5-HT3) receptor antagonist             ANTAGONIST                    
A5X5Y0        Serotonin (5-HT) receptor                           CHEMBL2096904                                                                                                                                                                  
A8MPY1        GABA-C receptor                                     CHEMBL2109242                                                                                                                                                                  
O00305        Voltage-gated calcium channel                       CHEMBL2363032     ATAGABALIN    CHEMBL593430      ATAGABALIN                             0   Voltage-gated calcium channel modulator             MODULATOR                     
P30532        Neuronal acetylcholine receptors; alpha-3/beta-4,   CHEMBL2221346                                                                                                                                                                  
P30532        Nicotinic acetylcholine receptor alpha4/beta2/alph  CHEMBL3038461     POZANICLINE   CHEMBL127071      POZANICLINE                            0   Nicotinic acetylcholine receptor alpha4/beta2/alph  PARTIAL AGONIST               
P30532        Nicotinic acetylcholine receptor alpha3/beta2/alph  CHEMBL3137272                                                                                                                                                                  
P30532        Nicotinic acetylcholine receptor alpha3/beta4/alph  CHEMBL3137273                                                                                                                                                                  
P30926        Neuronal acetylcholine receptor; alpha4/beta4       CHEMBL1907591                                                                                                                                                                  
P30926        Neuronal acetylcholine receptor; alpha3/beta4       CHEMBL1907594     ASM-024       CHEMBL3707249     ASM-024                                0   Neuronal acetylcholine receptor; alpha3/beta4 anta  ANTAGONIST                    
P30926        Neuronal acetylcholine receptor; alpha3/beta4       CHEMBL1907594     MECAMYLAMINE  CHEMBL1237082     Mecamylamine Hydrochloride      1956   0   Neuronal acetylcholine receptor; alpha3/beta4 nega  NEGATIVE ALLOSTERIC MODULATOR 
P30926        Neuronal acetylcholine receptor; alpha3/beta4       CHEMBL1907594     PENTOLINIUM   CHEMBL1318287     Pentolinium Tartrate            1982   0   Neuronal acetylcholine receptor; alpha3/beta4 anta  ANTAGONIST                    
P30926        Neuronal acetylcholine receptor; alpha3/beta4       CHEMBL1907594     TC-6499       CHEMBL3545353     TC-6499                                0   Neuronal acetylcholine receptor; alpha3/beta4 agon  AGONIST                       
P30926        Neuronal acetylcholine receptor; alpha3/beta4       CHEMBL1907594     TRIMETHAPHAN  CHEMBL1245        Trimethaphan Camsylate          1982   0   Neuronal acetylcholine receptor; alpha3/beta4 anta  ANTAGONIST                    
P30926        Neuronal acetylcholine receptor; alpha2/beta4       CHEMBL2109230                                                                                                                                                                  
P30926        Nicotinic acetylcholine receptor alpha3/betaX       CHEMBL2111384                                                                                                                                                                  
P30926        Neuronal acetylcholine receptors; alpha-3/beta-4,   CHEMBL2221346                                                                                                                                                                  
P30926        Nicotinic acetylcholine receptor alpha2/beta4       CHEMBL3038459                                                                                                                                                                  
P30926        Nicotinic acetylcholine receptor alpha3/beta4/alph  CHEMBL3137273                                                                                                                                                                  
P30926        Nicotinic acetylcholine receptor alpha6/alpha3/bet  CHEMBL3137285                                                                                                                                                                  
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     ACAMPROSATE   CHEMBL2068724     Acamprosate Calcium             2004   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     ALPRAZOLAM    CHEMBL661         Alprazolam                      1981   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     BUTABARBITAL  CHEMBL1200982     Butabarbital Sodium             1939   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     BUTALBITAL    CHEMBL454         Butalbital                      1983   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     CHLORDIAZEPO  CHEMBL451         Chlordiazepoxide                1960   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     CHLORDIAZEPO  CHEMBL1200703     Chlordiazepoxide Hydrochloride  1960   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     CLOBAZAM      CHEMBL70418       Clobazam                        2005   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     CLONAZEPAM    CHEMBL452         Clonazepam                      1975   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     CLORAZEPATE   CHEMBL2096631     Clorazepate Dipotassium         1972   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     DESFLURANE    CHEMBL1200733     Desflurane                      1992   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     DIAZEPAM      CHEMBL12          Diazepam                        1963   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     ENFLURANE     CHEMBL1257        Enflurane                       1972   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     ESTAZOLAM     CHEMBL285674      Estazolam                       1990   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     ESZOPICLONE   CHEMBL1522        Eszopiclone                     2004   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     ETHCHLORVYNO  CHEMBL591         Ethchlorvynol                   1961   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     ETOMIDATE     CHEMBL681         Etomidate                       1982   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     FLUMAZENIL    CHEMBL407         Flumazenil                      1991   0   GABA-A receptor; anion channel allosteric antagoni  ALLOSTERIC ANTAGONIST         
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     FLURAZEPAM H  CHEMBL1200602     Flurazepam Hydrochloride        1970   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     GLUTETHIMIDE  CHEMBL1102        Glutethimide                    1976   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     HALAZEPAM     CHEMBL970         Halazepam                       1981   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     HALOTHANE     CHEMBL931         Halothane                       1958   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     ISOFLURANE    CHEMBL1256        Isoflurane                      1979   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     LORAZEPAM     CHEMBL580         Lorazepam                       1977   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     MEPROBAMATE   CHEMBL979         Meprobamate                     1955   0   GABA-A receptor; anion channel agonist              AGONIST                       
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     METHARBITAL   CHEMBL450         Metharbital                     1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     METHOHEXITAL  CHEMBL30219       Methohexital Sodium             1960   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     METHOXYFLURA  CHEMBL1341        Methoxyflurane                         1   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     METHYPRYLON   CHEMBL1200790     Methyprylon                     1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     MIDAZOLAM HY  CHEMBL1200420     Midazolam Hydrochloride         1985   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     OXAZEPAM      CHEMBL568         Oxazepam                        1965   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     PF-06372865   CHEMBL3707402     PF-06372865                            0   GABA-A receptor; anion channel agonist              AGONIST                       
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     PENTOBARBITA  CHEMBL448         Pentobarbital                   1973   1   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     PENTOBARBITA  CHEMBL971         Pentobarbital Sodium            1973   1   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     PRAZEPAM      CHEMBL969         Prazepam                        1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     PRIMIDONE     CHEMBL856         Primidone                       1954   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     PROPOFOL      CHEMBL526         Propofol                        1989   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     QUAZEPAM      CHEMBL1200472     Quazepam                        1985   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     SECOBARBITAL  CHEMBL1200903     Secobarbital Sodium             1950   1   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     SEVOFLURANE   CHEMBL1200694     Sevoflurane                     1995   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     TALBUTAL      CHEMBL1200802     Talbutal                        1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     TEMAZEPAM     CHEMBL967         Temazepam                       1981   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     THIAMYLAL SO  CHEMBL1201065     Thiamylal Sodium                1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     THIOPENTAL S  CHEMBL738         Thiopental Sodium               1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     TOPIRAMATE    CHEMBL220492      Topiramate                      1996   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     TRIAZOLAM     CHEMBL646         Triazolam                       1978   1   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; anion channel                      CHEMBL2093872     TRICLOFOS SO  CHEMBL1200789     Triclofos Sodium                1982   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P31644        GABA-A receptor; alpha-5/beta-3/gamma-2             CHEMBL2094122                                                                                                                                                                  
P31644        GABA-A receptor; benzodiazepine site                CHEMBL2109243     ADIPIPLON     CHEMBL2103791     ADIPIPLON                              0   GABA-A receptor; benzodiazepine site partial agoni  PARTIAL AGONIST               
P31644        GABA-A receptor; benzodiazepine site                CHEMBL2109243     Lorediplon    CHEMBL3707317     Lorediplon                             0   GABA-A receptor; benzodiazepine site positive allo  POSITIVE ALLOSTERIC MODULATOR 
P31644        GABA-A receptor; benzodiazepine site                CHEMBL2109243     RESEQUINIL    CHEMBL2107801     RESEQUINIL                             0   GABA-A receptor; benzodiazepine site inverse agoni  INVERSE AGONIST               
P31644        GABA-A receptor; agonist GABA site                  CHEMBL2109244     GABOXADOL     CHEMBL312443      GABOXADOL                              0   GABA-A receptor; agonist GABA site agonist          AGONIST                       
P31644        GABA receptor alpha-5 subunit                       CHEMBL5112                                                                                                                                                                     
P32297        Neuronal acetylcholine receptor; alpha3/beta4       CHEMBL1907594     ASM-024       CHEMBL3707249     ASM-024                                0   Neuronal acetylcholine receptor; alpha3/beta4 anta  ANTAGONIST                    
P32297        Neuronal acetylcholine receptor; alpha3/beta4       CHEMBL1907594     MECAMYLAMINE  CHEMBL1237082     Mecamylamine Hydrochloride      1956   0   Neuronal acetylcholine receptor; alpha3/beta4 nega  NEGATIVE ALLOSTERIC MODULATOR 
P32297        Neuronal acetylcholine receptor; alpha3/beta4       CHEMBL1907594     PENTOLINIUM   CHEMBL1318287     Pentolinium Tartrate            1982   0   Neuronal acetylcholine receptor; alpha3/beta4 anta  ANTAGONIST                    
P32297        Neuronal acetylcholine receptor; alpha3/beta4       CHEMBL1907594     TC-6499       CHEMBL3545353     TC-6499                                0   Neuronal acetylcholine receptor; alpha3/beta4 agon  AGONIST                       
P32297        Neuronal acetylcholine receptor; alpha3/beta4       CHEMBL1907594     TRIMETHAPHAN  CHEMBL1245        Trimethaphan Camsylate          1982   0   Neuronal acetylcholine receptor; alpha3/beta4 anta  ANTAGONIST                    
P32297        Neuronal acetylcholine receptor; alpha3/alpha6/bet  CHEMBL2109233                                                                                                                                                                  
P32297        Neuronal acetylcholine receptor; alpha3/beta2       CHEMBL2109234                                                                                                                                                                  
P32297        Nicotinic acetylcholine receptor alpha3/betaX       CHEMBL2111384                                                                                                                                                                  
P32297        Neuronal acetylcholine receptors; alpha-3/beta-4,   CHEMBL2221346                                                                                                                                                                  
P32297        Neuronal acetylcholine receptor subunit alpha-3     CHEMBL3068                                                                                                                                                                     
P32297        Nicotinic acetylcholine receptor alpha3/beta2/alph  CHEMBL3137272                                                                                                                                                                  
P32297        Nicotinic acetylcholine receptor alpha3/beta4/alph  CHEMBL3137273                                                                                                                                                                  
P32297        Nicotinic acetylcholine receptor alpha6/alpha3/bet  CHEMBL3137285                                                                                                                                                                  
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     ACAMPROSATE   CHEMBL2068724     Acamprosate Calcium             2004   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     ALPRAZOLAM    CHEMBL661         Alprazolam                      1981   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     BUTABARBITAL  CHEMBL1200982     Butabarbital Sodium             1939   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     BUTALBITAL    CHEMBL454         Butalbital                      1983   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     CHLORDIAZEPO  CHEMBL451         Chlordiazepoxide                1960   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     CHLORDIAZEPO  CHEMBL1200703     Chlordiazepoxide Hydrochloride  1960   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     CLOBAZAM      CHEMBL70418       Clobazam                        2005   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     CLONAZEPAM    CHEMBL452         Clonazepam                      1975   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     CLORAZEPATE   CHEMBL2096631     Clorazepate Dipotassium         1972   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     DESFLURANE    CHEMBL1200733     Desflurane                      1992   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     DIAZEPAM      CHEMBL12          Diazepam                        1963   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     ENFLURANE     CHEMBL1257        Enflurane                       1972   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     ESTAZOLAM     CHEMBL285674      Estazolam                       1990   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     ESZOPICLONE   CHEMBL1522        Eszopiclone                     2004   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     ETHCHLORVYNO  CHEMBL591         Ethchlorvynol                   1961   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     ETOMIDATE     CHEMBL681         Etomidate                       1982   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     FLUMAZENIL    CHEMBL407         Flumazenil                      1991   0   GABA-A receptor; anion channel allosteric antagoni  ALLOSTERIC ANTAGONIST         
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     FLURAZEPAM H  CHEMBL1200602     Flurazepam Hydrochloride        1970   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     GLUTETHIMIDE  CHEMBL1102        Glutethimide                    1976   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     HALAZEPAM     CHEMBL970         Halazepam                       1981   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     HALOTHANE     CHEMBL931         Halothane                       1958   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     ISOFLURANE    CHEMBL1256        Isoflurane                      1979   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     LORAZEPAM     CHEMBL580         Lorazepam                       1977   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     MEPROBAMATE   CHEMBL979         Meprobamate                     1955   0   GABA-A receptor; anion channel agonist              AGONIST                       
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     METHARBITAL   CHEMBL450         Metharbital                     1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     METHOHEXITAL  CHEMBL30219       Methohexital Sodium             1960   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     METHOXYFLURA  CHEMBL1341        Methoxyflurane                         1   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     METHYPRYLON   CHEMBL1200790     Methyprylon                     1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     MIDAZOLAM HY  CHEMBL1200420     Midazolam Hydrochloride         1985   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     OXAZEPAM      CHEMBL568         Oxazepam                        1965   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     PF-06372865   CHEMBL3707402     PF-06372865                            0   GABA-A receptor; anion channel agonist              AGONIST                       
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     PENTOBARBITA  CHEMBL448         Pentobarbital                   1973   1   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     PENTOBARBITA  CHEMBL971         Pentobarbital Sodium            1973   1   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     PRAZEPAM      CHEMBL969         Prazepam                        1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     PRIMIDONE     CHEMBL856         Primidone                       1954   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     PROPOFOL      CHEMBL526         Propofol                        1989   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     QUAZEPAM      CHEMBL1200472     Quazepam                        1985   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     SECOBARBITAL  CHEMBL1200903     Secobarbital Sodium             1950   1   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     SEVOFLURANE   CHEMBL1200694     Sevoflurane                     1995   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     TALBUTAL      CHEMBL1200802     Talbutal                        1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     TEMAZEPAM     CHEMBL967         Temazepam                       1981   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     THIAMYLAL SO  CHEMBL1201065     Thiamylal Sodium                1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     THIOPENTAL S  CHEMBL738         Thiopental Sodium               1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     TOPIRAMATE    CHEMBL220492      Topiramate                      1996   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     TRIAZOLAM     CHEMBL646         Triazolam                       1978   1   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; anion channel                      CHEMBL2093872     TRICLOFOS SO  CHEMBL1200789     Triclofos Sodium                1982   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
P34903        GABA-A receptor; alpha-3/beta-3/gamma-2             CHEMBL2094120                                                                                                                                                                  
P34903        GABA-A receptor; benzodiazepine site                CHEMBL2109243     ADIPIPLON     CHEMBL2103791     ADIPIPLON                              0   GABA-A receptor; benzodiazepine site partial agoni  PARTIAL AGONIST               
P34903        GABA-A receptor; benzodiazepine site                CHEMBL2109243     Lorediplon    CHEMBL3707317     Lorediplon                             0   GABA-A receptor; benzodiazepine site positive allo  POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA-A receptor; benzodiazepine site                CHEMBL2109243     RESEQUINIL    CHEMBL2107801     RESEQUINIL                             0   GABA-A receptor; benzodiazepine site inverse agoni  INVERSE AGONIST               
P34903        GABA-A receptor; agonist GABA site                  CHEMBL2109244     GABOXADOL     CHEMBL312443      GABOXADOL                              0   GABA-A receptor; agonist GABA site agonist          AGONIST                       
P34903        GABA A receptor alpha-3/beta-2/gamma-2              CHEMBL2111339                                                                                                                                                                  
P34903        GABA receptor alpha-3 subunit                       CHEMBL3026        AZD6280       CHEMBL1783256     AZD6280                                0   GABA receptor alpha-3 subunit positive allosteric   POSITIVE ALLOSTERIC MODULATOR 
P34903        GABA receptor alpha-3 subunit                       CHEMBL3026        AZD7325       CHEMBL1783282     AZD7325                                0   GABA receptor alpha-3 subunit positive allosteric   POSITIVE ALLOSTERIC MODULATOR 
P35372        Opioid receptors; mu & delta                        CHEMBL2095149                                                                                                                                                                  
P35372        Opioid receptors; mu & kappa                        CHEMBL2095156                                                                                                                                                                  
P35372        Opioid receptors; mu/kappa/delta                    CHEMBL2095181     CEBRANOPADOL  CHEMBL2364605     CEBRANOPADOL                           0   Opioid receptors; mu/kappa/delta agonist            AGONIST                       
P35372        Opioid receptors; mu/kappa/delta                    CHEMBL2095181     CODEINE PHOS  CHEMBL1201099     Codeine Phosphate               1952   0   Opioid receptors; mu/kappa/delta agonist            AGONIST                       
P35372        Opioid receptors; mu/kappa/delta                    CHEMBL2095181     CODEINE POLI  CHEMBL1201463     Codeine Polistirex              1985   0   Opioid receptors; mu/kappa/delta agonist            AGONIST                       
P35372        Opioid receptors; mu/kappa/delta                    CHEMBL2095181     CODEINE SULF  CHEMBL284671      Codeine Sulfate                 2009   0   Opioid receptors; mu/kappa/delta agonist            AGONIST                       
P35372        Opioid receptors; mu/kappa/delta                    CHEMBL2095181     HYDROCODONE   CHEMBL2062267     Hydrocodone Bitartrate          1943   0   Opioid receptors; mu/kappa/delta agonist            AGONIST                       
P35372        Opioid receptors; mu/kappa/delta                    CHEMBL2095181     HYDROCODONE   CHEMBL1201470     Hydrocodone Polistirex          1987   0   Opioid receptors; mu/kappa/delta agonist            AGONIST                       
P35372        Opioid receptors; mu/kappa/delta                    CHEMBL2095181     NALBUPHINE H  CHEMBL1201132     Nalbuphine Hydrochloride        1979   0   Opioid receptors; mu/kappa/delta agonist            AGONIST                       
P35372        Opioid receptors; mu/kappa/delta                    CHEMBL2095181     NALMEFENE HY  CHEMBL1201152     Nalmefene Hydrochloride         1995   0   Opioid receptors; mu/kappa/delta antagonist         ANTAGONIST                    
